iter,reward,reward_avg,advantage,loss,ratio,error_tokens,time
0,-1.0499999523162842,-0.10499999672174454,-0.9449999332427979,0.9449999332427979,1.0,4,8.069749593734741
1,-1.0499999523162842,-0.19949999451637268,-0.8504999876022339,0.849726140499115,0.9990901350975037,4,2.678123712539673
2,-1.0499999523162842,-0.2845499813556671,-0.7654500007629395,0.7613351941108704,0.9946243166923523,4,2.6343448162078857
3,-1.0499999523162842,-0.36109495162963867,-0.6889050006866455,0.6108595132827759,0.8867108225822449,4,2.442915916442871
4,-1.0499999523162842,-0.4299854338169098,-0.6200145483016968,0.584450900554657,0.9426406621932983,4,2.4403798580169678
5,-1.0499999523162842,-0.49198687076568604,-0.5580130815505981,0.49405500292778015,0.8853824734687805,4,2.4327950477600098
6,-1.0499999523162842,-0.5477882027626038,-0.5022117495536804,0.40176939964294434,0.585149347782135,4,2.4675862789154053
7,-0.44999998807907104,-0.5380093455314636,0.08800935745239258,-0.08576663583517075,0.9745172262191772,4,2.5570690631866455
8,-1.899999976158142,-0.674208402633667,-1.225791573524475,0.9806332588195801,0.7813577055931091,4,4.2362165451049805
9,-1.0499999523162842,-0.7117875814437866,-0.33821237087249756,0.4142422378063202,1.2247991561889648,4,7.601048707962036
10,-1.0499999523162842,-0.7456088066101074,-0.30439114570617676,0.24351291358470917,0.6305880546569824,4,5.650936126708984
11,-1.0499999523162842,-0.776047945022583,-0.27395200729370117,0.2753120958805084,1.0049647092819214,4,5.268095254898071
12,-1.0499999523162842,-0.8034431338310242,-0.24655681848526,0.23108410835266113,0.9372448325157166,4,4.342614650726318
13,0.800000011920929,-0.6430988311767578,1.443098783493042,-1.5282230377197266,1.0589871406555176,2,4.353179216384888
14,-1.0499999523162842,-0.6837889552116394,-0.3662109971046448,0.2996161878108978,0.8181517720222473,4,4.342615365982056
15,-1.0499999523162842,-0.7204100489616394,-0.3295899033546448,0.3843308389186859,1.1660879850387573,4,4.353799819946289
16,-1.0499999523162842,-0.7533690333366394,-0.2966309189796448,0.23730473220348358,0.7304151654243469,4,4.410971403121948
17,-1.0499999523162842,-0.7830321192741394,-0.2669678330421448,0.21357427537441254,0.6074615120887756,4,4.4984447956085205
18,-1.0499999523162842,-0.8097289204597473,-0.24027103185653687,0.20930232107639313,0.8711092472076416,4,4.386381387710571
19,-0.8500000238418579,-0.813755989074707,-0.03624403476715088,0.033728137612342834,0.9305845499038696,4,4.338452339172363
20,-1.0499999523162842,-0.8373804092407227,-0.21261954307556152,0.17009563744068146,0.6569252014160156,4,4.892507791519165
21,-1.125,-0.8661423325538635,-0.2588576674461365,0.2576253116130829,0.9952391982078552,4,5.966071128845215
22,-1.125,-0.8920280933380127,-0.2329719066619873,0.21343521773815155,0.9161414504051208,4,4.3688249588012695
23,-0.5249999761581421,-0.8553252816200256,0.33032530546188354,-0.35063087940216064,1.0614714622497559,4,4.419063329696655
24,-1.125,-0.8822927474975586,-0.2427072525024414,0.21135272085666656,0.8708133697509766,4,4.442423582077026
25,-1.0499999523162842,-0.8990634679794312,-0.15093648433685303,0.14381761848926544,0.9528353810310364,4,4.314836263656616
26,0.800000011920929,-0.7291570901870728,1.5291571617126465,-1.5966057777404785,1.0441083908081055,2,4.333275318145752
27,-0.10000000149011612,-0.6662413477897644,0.5662413239479065,-0.5603135824203491,0.989531397819519,3,4.369279384613037
28,-1.0499999523162842,-0.7046172022819519,-0.3453827500343323,0.2763062119483948,0.5929020643234253,4,4.411460876464844
29,-0.02500000037252903,-0.6366554498672485,0.6116554737091064,-0.5932224988937378,0.9698638319969177,3,4.451200246810913
30,-0.800000011920929,-0.6529898643493652,-0.14701014757156372,0.14150898158550262,0.9625797271728516,4,4.920776844024658
31,1.350000023841858,-0.45269089937210083,1.8026909828186035,-1.8098829984664917,1.003989577293396,1,4.363245964050293
32,-1.0499999523162842,-0.5124217867851257,-0.5375781655311584,0.5271588563919067,0.9806180596351624,4,4.369779825210571
33,-1.125,-0.5736795663833618,-0.5513204336166382,0.5138733983039856,0.9320775866508484,4,4.348991870880127
34,-1.0499999523162842,-0.621311604976654,-0.4286883473396301,0.3429506719112396,0.7464069724082947,4,4.398531436920166
35,-1.0499999523162842,-0.6641804575920105,-0.3858194947242737,0.355683833360672,0.9218918085098267,4,4.325735807418823
36,-1.0499999523162842,-0.7027624249458313,-0.3472375273704529,0.27779003977775574,0.6756969094276428,4,3.6161575317382812
37,-0.8500000238418579,-0.7174861431121826,-0.1325138807296753,0.10601110756397247,0.6735968589782715,4,3.0064103603363037
38,-0.6499999761581421,-0.7107375264167786,0.060737550258636475,-0.057222217321395874,0.9421225786209106,4,3.7266931533813477
39,-1.125,-0.7521637678146362,-0.37283623218536377,0.40620866417884827,1.0895096063613892,4,4.289603233337402
40,-1.0499999523162842,-0.7819473743438721,-0.2680525779724121,0.21444205939769745,0.5110701322555542,4,4.914764881134033
41,-0.800000011920929,-0.7837526202201843,-0.01624739170074463,0.016265561804175377,1.0011183023452759,4,4.408959627151489
42,-0.8500000238418579,-0.7903773188591003,-0.05962270498275757,0.058053892105817795,0.9736876487731934,4,4.452051877975464
43,-0.5249999761581421,-0.763839602470398,0.23883962631225586,-0.22013787925243378,0.9216974973678589,4,4.354413270950317
44,0.10000000149011612,-0.6774556040763855,0.7774556279182434,-0.7804542183876038,1.003856897354126,3,4.331635475158691
45,-1.0499999523162842,-0.7147100567817688,-0.3352898955345154,0.26823192834854126,0.6452533602714539,4,4.366823434829712
46,-0.925000011920929,-0.73573899269104,-0.18926101922988892,0.15703582763671875,0.8297314643859863,4,4.412907361984253
47,-1.125,-0.774665117263794,-0.35033488273620605,0.29200005531311035,0.8334883451461792,4,4.403270959854126
48,-0.7250000238418579,-0.7696985602378845,0.04469853639602661,-0.05363824591040611,1.2201091051101685,4,4.379776954650879
49,-1.125,-0.8052287101745605,-0.31977128982543945,0.3801708221435547,1.1888835430145264,4,4.355710983276367
50,-1.0499999523162842,-0.8297058343887329,-0.22029411792755127,0.17623530328273773,0.6165170669555664,4,5.182633399963379
51,-1.0499999523162842,-0.8517352342605591,-0.1982647180557251,0.19861236214637756,1.0017534494400024,4,5.757613897323608
52,-1.0499999523162842,-0.8715617060661316,-0.1784382462501526,0.1709539145231247,0.9580564498901367,4,3.432427406311035
53,0.800000011920929,-0.7044055461883545,1.5044054985046387,-1.369171380996704,0.9101079702377319,2,2.987961769104004
54,0.10000000149011612,-0.6239649653434753,0.7239649891853333,-0.7094573378562927,0.9799607992172241,3,2.606663227081299
55,-1.0499999523162842,-0.6665684580802917,-0.38343149423599243,0.3067452013492584,0.755121111869812,4,2.807061195373535
56,0.7250000238418579,-0.5274115800857544,1.2524116039276123,-1.3741438388824463,1.097198247909546,2,2.7949893474578857
57,-1.0499999523162842,-0.5796704292297363,-0.47032952308654785,0.3762636184692383,0.606144368648529,4,2.8435661792755127
58,1.100000023841858,-0.41170334815979004,1.511703372001648,-1.8140441179275513,1.2366288900375366,3,2.657897710800171
59,-1.125,-0.4830330014228821,-0.6419669985771179,0.5135735869407654,0.7847114205360413,4,4.871469974517822
